"";"Fecha";"Altas_ nuevas";"Casos_nvos";"Altas_acumuladas";"Fallecidos_nvos";"Casos_acumulados";"Fallecidos_acumulados";"Periodo";"Mes"
"1";2020-04-06;0;0;0;0;0;0;"2020";"Abril"
"2";2020-04-07;0;0;0;0;0;0;"2020";"Abril"
"3";2020-04-08;0;0;0;0;0;0;"2020";"Abril"
"4";2020-04-09;0;0;0;0;0;0;"2020";"Abril"
"5";2020-04-10;0;0;0;0;0;0;"2020";"Abril"
"6";2020-04-11;0;0;0;0;0;0;"2020";"Abril"
"7";2020-04-12;0;0;0;0;0;0;"2020";"Abril"
"8";2020-04-13;0;0;0;0;0;0;"2020";"Abril"
"9";2020-04-14;0;0;0;0;0;0;"2020";"Abril"
"10";2020-04-15;0;0;0;0;0;0;"2020";"Abril"
"11";2020-04-16;0;0;0;0;0;0;"2020";"Abril"
"12";2020-04-17;0;0;0;0;0;0;"2020";"Abril"
"13";2020-04-18;0;0;0;0;0;0;"2020";"Abril"
"14";2020-04-19;0;0;0;0;0;0;"2020";"Abril"
"15";2020-04-20;0;0;0;0;0;0;"2020";"Abril"
"16";2020-04-21;0;0;0;0;0;0;"2020";"Abril"
"17";2020-04-22;0;0;0;0;0;0;"2020";"Abril"
"18";2020-04-23;0;0;0;0;0;0;"2020";"Abril"
"19";2020-04-24;0;0;0;0;0;0;"2020";"Abril"
"20";2020-04-25;0;0;0;0;0;0;"2020";"Abril"
"21";2020-04-26;0;0;0;0;0;0;"2020";"Abril"
"22";2020-04-27;0;0;0;0;0;0;"2020";"Abril"
"23";2020-04-28;0;0;0;0;0;0;"2020";"Abril"
"24";2020-04-29;0;0;0;0;0;0;"2020";"Abril"
"25";2020-04-30;0;0;0;0;0;0;"2020";"Abril"
"26";2020-05-01;0;0;0;0;0;0;"2020";"Mayo"
"27";2020-05-02;0;0;0;0;0;0;"2020";"Mayo"
"28";2020-05-03;0;0;0;0;0;0;"2020";"Mayo"
"29";2020-05-04;0;0;0;0;0;0;"2020";"Mayo"
"30";2020-05-05;0;0;0;0;0;0;"2020";"Mayo"
"31";2020-05-06;0;0;0;0;0;0;"2020";"Mayo"
"32";2020-05-07;0;0;0;0;0;0;"2020";"Mayo"
"33";2020-05-08;0;0;0;0;0;0;"2020";"Mayo"
"34";2020-05-09;0;0;0;0;0;0;"2020";"Mayo"
"35";2020-05-10;0;0;0;0;0;0;"2020";"Mayo"
"36";2020-05-11;0;0;0;0;0;0;"2020";"Mayo"
"37";2020-05-12;0;0;0;0;0;0;"2020";"Mayo"
"38";2020-05-13;0;0;0;0;0;0;"2020";"Mayo"
"39";2020-05-14;0;0;0;0;0;0;"2020";"Mayo"
"40";2020-05-15;0;0;0;0;0;0;"2020";"Mayo"
"41";2020-05-16;0;0;0;0;0;0;"2020";"Mayo"
"42";2020-05-17;0;0;0;0;0;0;"2020";"Mayo"
"43";2020-05-18;0;0;0;0;0;0;"2020";"Mayo"
"44";2020-05-19;0;0;0;0;0;0;"2020";"Mayo"
"45";2020-05-20;0;0;0;0;0;0;"2020";"Mayo"
"46";2020-05-21;0;0;0;0;0;0;"2020";"Mayo"
"47";2020-05-22;0;0;0;0;0;0;"2020";"Mayo"
"48";2020-05-23;0;0;0;0;0;0;"2020";"Mayo"
"49";2020-05-24;0;0;0;0;0;0;"2020";"Mayo"
"50";2020-05-25;0;0;0;0;0;0;"2020";"Mayo"
"51";2020-05-26;0;0;0;0;0;0;"2020";"Mayo"
"52";2020-05-27;0;0;0;0;0;0;"2020";"Mayo"
"53";2020-05-28;0;0;0;0;0;0;"2020";"Mayo"
"54";2020-05-29;0;0;0;0;0;0;"2020";"Mayo"
"55";2020-05-30;0;0;0;0;0;0;"2020";"Mayo"
"56";2020-05-31;0;0;0;0;0;0;"2020";"Mayo"
"57";2020-06-01;0;0;0;0;0;0;"2020";"Junio"
"58";2020-06-02;0;0;0;0;0;0;"2020";"Junio"
"59";2020-06-03;0;0;0;0;0;0;"2020";"Junio"
"60";2020-06-04;0;0;0;0;0;0;"2020";"Junio"
"61";2020-06-05;0;0;0;0;0;0;"2020";"Junio"
"62";2020-06-06;0;0;0;0;0;0;"2020";"Junio"
"63";2020-06-07;0;0;0;0;0;0;"2020";"Junio"
"64";2020-06-08;0;0;0;0;0;0;"2020";"Junio"
"65";2020-06-09;0;0;0;0;0;0;"2020";"Junio"
"66";2020-06-10;0;0;0;0;0;0;"2020";"Junio"
"67";2020-06-11;0;0;0;0;0;0;"2020";"Junio"
"68";2020-06-12;0;0;0;0;0;0;"2020";"Junio"
"69";2020-06-13;0;0;0;0;0;0;"2020";"Junio"
"70";2020-06-14;0;0;0;0;0;0;"2020";"Junio"
"71";2020-06-15;0;0;0;0;0;0;"2020";"Junio"
"72";2020-06-16;0;0;0;0;0;0;"2020";"Junio"
"73";2020-06-17;0;0;0;0;0;0;"2020";"Junio"
"74";2020-06-18;0;0;0;0;0;0;"2020";"Junio"
"75";2020-06-19;0;0;0;0;0;0;"2020";"Junio"
"76";2020-06-20;0;0;0;0;0;0;"2020";"Junio"
"77";2020-06-21;0;0;0;0;0;0;"2020";"Junio"
"78";2020-06-22;0;0;0;0;0;0;"2020";"Junio"
"79";2020-06-23;0;0;0;0;0;0;"2020";"Junio"
"80";2020-06-24;0;1;0;0;1;0;"2020";"Junio"
"81";2020-06-25;0;0;0;0;1;0;"2020";"Junio"
"82";2020-06-26;0;1;0;0;2;0;"2020";"Junio"
"83";2020-06-27;0;0;0;0;2;0;"2020";"Junio"
"84";2020-06-28;0;0;0;0;2;0;"2020";"Junio"
"85";2020-06-29;0;4;0;0;6;0;"2020";"Junio"
"86";2020-06-30;0;0;0;0;6;0;"2020";"Junio"
"87";2020-07-01;0;0;0;0;6;0;"2020";"Julio"
"88";2020-07-02;0;0;0;0;6;0;"2020";"Julio"
"89";2020-07-03;0;0;0;0;6;0;"2020";"Julio"
"90";2020-07-04;0;0;0;0;6;0;"2020";"Julio"
"91";2020-07-05;0;0;0;0;6;0;"2020";"Julio"
"92";2020-07-06;0;0;0;0;6;0;"2020";"Julio"
"93";2020-07-07;0;0;0;0;6;0;"2020";"Julio"
"94";2020-07-08;0;0;0;0;6;0;"2020";"Julio"
"95";2020-07-09;0;0;0;0;6;0;"2020";"Julio"
"96";2020-07-10;0;0;0;0;6;0;"2020";"Julio"
"97";2020-07-11;1;0;1;0;6;0;"2020";"Julio"
"98";2020-07-12;1;0;2;0;6;0;"2020";"Julio"
"99";2020-07-13;0;0;2;0;6;0;"2020";"Julio"
"100";2020-07-14;0;0;2;0;6;0;"2020";"Julio"
"101";2020-07-15;0;0;2;0;6;0;"2020";"Julio"
"102";2020-07-16;0;1;2;0;7;0;"2020";"Julio"
"103";2020-07-17;0;0;2;0;7;0;"2020";"Julio"
"104";2020-07-18;0;0;2;0;7;0;"2020";"Julio"
"105";2020-07-19;0;0;2;0;7;0;"2020";"Julio"
