fecha,oficina_cf,provincia,provincia_id,pais_destino,pais_destino_id,pais_destino_id_iso_3166_1,continente,mercaderia_certificada,transporte,tn
2020-01-01,RIO TERCERO,Córdoba,14,REINO UNIDO,426,GBR,Europa,Grano de Maní Partido Blancheado,CAMION|CONT,50.020
2020-01-01,RIO TERCERO,Córdoba,14,ESPAÑA,410,ESP,Europa,Grano de Maní Blancheado,CAMION|CONT,46.120
2020-01-01,RIO TERCERO,Córdoba,14,POLONIA,424,POL,Europa,Grano de Maní Blancheado,CAMION|CONT,22.400
2020-01-01,RIO TERCERO,Córdoba,14,BELGICA,406,BEL,Europa,Grano de Maní Partido Blancheado,CAMION|CONT,25.040
2020-01-01,RIO TERCERO,Córdoba,14,PAISES BAJOS (HOLANDA),423,NLD,Europa,Grano de Maní Partido Blancheado,CAMION|CONT,25.060
2020-01-01,RIO TERCERO,Córdoba,14,PAISES BAJOS (HOLANDA),423,NLD,Europa,Grano de Maní Blancheado,CAMION|CONT,225.380
2020-01-01,RIO TERCERO,Córdoba,14,PAISES BAJOS (HOLANDA),423,NLD,Europa,Grano de Maní,CONT,50.000
2020-01-01,RIO TERCERO,Córdoba,14,BULGARIA,407,BGR,Europa,Grano de Maní,CAMION|CONT,25.060
2020-01-01,RIO TERCERO,Córdoba,14,BULGARIA,407,BGR,Europa,Grano de Maní,CONT,75.040
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PERU,222,PER,América,Aceite refinado de girasol,CAMION|CONT,22.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PERU,222,PER,América,Grano de Poroto,CONT,49.760
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ESTADOS UNIDOS,212,USA,América,Jugo de Limón Congelado,CONT,20.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,REINO UNIDO,426,GBR,Europa,Semilla de Raigrás perenne,AVION,0.002
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ESPAÑA,410,ESP,Europa,Grano de Poroto,CONT,282.980
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,POLONIA,424,POL,Europa,Yerba Mate,CONT,8.352
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ITALIA,417,ITA,Europa,Grano de Poroto,CONT,46.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,BRASIL,203,BRA,América,Aceite refinado de girasol,CAMION,18.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,TURQUIA,436,TUR,Europa,Grano de Poroto,CONT,113.840
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,EL SALVADOR,211,SLV,América,Almidón de Maíz,CONT,50.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,FRANCIA,412,FRA,Europa,Grano de Poroto,CONT,44.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ECUADOR,210,ECU,América,tablero de fibra de madera,CONT,23.733
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PAISES BAJOS (HOLANDA),423,NLD,Europa,Grano de Chía,CONT,22.983
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PAISES BAJOS (HOLANDA),423,NLD,Europa,Grano de Sésamo,CONT,2.738
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ALEMANIA,438,DEU,Europa,Yerba Mate,CONT,3.600
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ISRAEL,319,ISR,Asia,Grano de Poroto,CONT,47.500
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,VENEZUELA,226,VEN,América,Grano de Poroto,CONT,49.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ARGELIA,102,DZA,Africa,Grano de Poroto,CONT,226.940
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,ARGELIA,102,DZA,Africa,Grano de Maíz Pisingallo,CONT,126.020
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,BULGARIA,407,BGR,Europa,Grano de Poroto,CONT,64.800
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,JAPON,320,JPN,Asia,Yerba Mate,CONT,1.864
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,INDONESIA,316,IDN,Asia,Fibra de Algodón,CONT,198.840
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,CANADA,204,CAN,América,Frutilla Congelada,CONT,22.225
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PAKISTAN,332,PAK,Asia,Grano de Garbanzo,CONT,48.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,PAKISTAN,332,PAK,Asia,Fibra de Algodón,CONT,101.660
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,RUMANIA,427,ROU,Europa,Grano de Poroto,CONT,48.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,URUGUAY,225,URY,América,Champiñón fresco,AVION,0.578
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,JORDANIA,321,JOR,Asia,Grano de Poroto,CONT,98.850
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,EGIPTO,113,EGY,Africa,Proteína de Soja,CONT,36.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,OMAN,328,OMN,Asia,Grano de Poroto,CONT,92.000
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,IRAK,317,IRQ,Asia,Limón Fresco,CONT,23.814
2020-01-02,PUERTO DE BUENOS AIRES (CIUDAD AUTONOMA DE BUENOS AIRES),Ciudad Autónoma de Buenos Aires,02,BELICE (HONDURAS BRITANICA),236,BLZ,América,tablero de fibra de madera,CONT,76.403
2020-01-02,OBERÁ,Misiones,54,ESTADOS UNIDOS,212,USA,América,Té Negro,CONT,144.000
2020-01-02,OBERÁ,Misiones,54,REINO UNIDO,426,GBR,Europa,Té Negro,CONT,24.000
2020-01-02,OBERÁ,Misiones,54,POLONIA,424,POL,Europa,Té Negro,CONT,72.000
2020-01-02,OBERÁ,Misiones,54,CHILE,208,CHL,América,Té Negro,CAMION,112.000
2020-01-02,OBERÁ,Misiones,54,CHILE,208,CHL,América,Yerba Mate,CAMION,27.894
2020-01-02,SAN SALVADOR DE JUJUY,Jujuy,38,ITALIA,417,ITA,Europa,Grano de Poroto,CONT,90.800
2020-01-02,SAN SALVADOR DE JUJUY,Jujuy,38,FRANCIA,412,FRA,Europa,Grano de Poroto,CONT,136.200
