"","anio","jurisdicion_nombre","edad_madre","semana_gestacion","sexo","nacimientos_cantidad","educacion"
"1",2019,"Buenos Aires","30 a 34","37 a 41","masculino",9,"Terciaria/Universitaria Completa"
"2",2019,"Buenos Aires","30 a 34","32 a 36","masculino",10,"Terciaria/Universitaria Completa"
"3",2019,"Chaco","30 a 34","32 a 36","masculino",22,"Secundaria/Polimodal Completa"
"4",2019,"Buenos Aires","30 a 34","37 a 41","masculino",78,"Terciaria/Universitaria Completa"
"5",2019,"Buenos Aires","35 a 39","32 a 36","masculino",1,"Sin instrucción"
"6",2019,"Buenos Aires","35 a 39","32 a 36","masculino",1,"Sin instrucción"
"7",2019,"Buenos Aires","35 a 39","37 a 41","masculino",1,"Sin instrucción"
"8",2019,"Buenos Aires","35 a 39","37 a 41","masculino",2,"Sin instrucción"
"9",2019,"Buenos Aires","35 a 39","Sin especif","masculino",1,"Sin instrucción"
"10",2019,"Buenos Aires","35 a 39","28 a 31","masculino",3,"Primaria/C. EGB Incompleta"
"11",2019,"Buenos Aires","35 a 39","32 a 36","masculino",2,"Primaria/C. EGB Incompleta"
"12",2019,"Buenos Aires","35 a 39","22 a 23","masculino",2,"Primaria/C. EGB Completa"
"13",2019,"Buenos Aires","35 a 39","24 a 27","masculino",4,"Primaria/C. EGB Completa"
"14",2019,"Buenos Aires","35 a 39","28 a 31","masculino",11,"Primaria/C. EGB Completa"
"15",2019,"Buenos Aires","35 a 39","28 a 31","masculino",7,"Primaria/C. EGB Completa"
"16",2019,"Buenos Aires","35 a 39","28 a 31","masculino",1,"Primaria/C. EGB Completa"
"17",2019,"Buenos Aires","35 a 39","32 a 36","masculino",8,"Primaria/C. EGB Completa"
"18",2019,"Buenos Aires","35 a 39","32 a 36","masculino",28,"Primaria/C. EGB Completa"
"19",2019,"Buenos Aires","35 a 39","32 a 36","masculino",62,"Primaria/C. EGB Completa"
"20",2019,"Buenos Aires","35 a 39","32 a 36","masculino",63,"Primaria/C. EGB Completa"
"21",2019,"Buenos Aires","35 a 39","32 a 36","masculino",32,"Primaria/C. EGB Completa"
"22",2019,"Buenos Aires","35 a 39","32 a 36","masculino",13,"Primaria/C. EGB Completa"
"23",2019,"Buenos Aires","35 a 39","32 a 36","masculino",1,"Primaria/C. EGB Completa"
"24",2019,"Buenos Aires","35 a 39","37 a 41","masculino",1,"Primaria/C. EGB Completa"
"25",2019,"Buenos Aires","35 a 39","37 a 41","masculino",38,"Primaria/C. EGB Completa"
"26",2019,"Buenos Aires","35 a 39","37 a 41","masculino",267,"Primaria/C. EGB Completa"
"27",2019,"Buenos Aires","35 a 39","Sin especif","masculino",17,"Primaria/C. EGB Completa"
"28",2019,"Buenos Aires","35 a 39","Sin especif","masculino",5,"Primaria/C. EGB Completa"
"29",2019,"Buenos Aires","35 a 39","37 a 41","masculino",795,"Secundaria/Polimodal Incompleta"
"30",2019,"Buenos Aires","35 a 39","37 a 41","masculino",12,"Secundaria/Polimodal Incompleta"
"31",2019,"Buenos Aires","35 a 39","42 y más","masculino",2,"Secundaria/Polimodal Incompleta"
"32",2019,"Buenos Aires","35 a 39","42 y más","masculino",7,"Secundaria/Polimodal Incompleta"
"33",2019,"Buenos Aires","35 a 39","24 a 27","masculino",1,"Secundaria/Polimodal Completa"
"34",2019,"Buenos Aires","35 a 39","28 a 31","masculino",8,"Secundaria/Polimodal Completa"
"35",2019,"Buenos Aires","35 a 39","28 a 31","masculino",15,"Secundaria/Polimodal Completa"
"36",2019,"Buenos Aires","35 a 39","28 a 31","masculino",14,"Secundaria/Polimodal Completa"
"37",2019,"Buenos Aires","35 a 39","28 a 31","masculino",2,"Secundaria/Polimodal Completa"
"38",2019,"Buenos Aires","35 a 39","28 a 31","masculino",1,"Secundaria/Polimodal Completa"
"39",2019,"Buenos Aires","35 a 39","28 a 31","masculino",2,"Secundaria/Polimodal Completa"
"40",2019,"Buenos Aires","35 a 39","32 a 36","masculino",10,"Secundaria/Polimodal Completa"
"41",2019,"Buenos Aires","35 a 39","32 a 36","masculino",134,"Secundaria/Polimodal Completa"
"42",2019,"Buenos Aires","35 a 39","32 a 36","masculino",16,"Secundaria/Polimodal Completa"
"43",2019,"Buenos Aires","35 a 39","32 a 36","masculino",2,"Secundaria/Polimodal Completa"
"44",2019,"Buenos Aires","35 a 39","37 a 41","masculino",3,"Secundaria/Polimodal Completa"
"45",2019,"Buenos Aires","35 a 39","37 a 41","masculino",7,"Secundaria/Polimodal Completa"
"46",2019,"Buenos Aires","35 a 39","37 a 41","masculino",29,"Secundaria/Polimodal Completa"
"47",2019,"Chaco","30 a 34","32 a 36","masculino",1,"Terciaria/Universitaria Incompleta"
