Estado,Pais,Total_ganancias,Total_clientes
Acre,Brasil,1939,4
Alagoas,Brasil,-14496.257999999996,26
Amapá,Brasil,12486.251600000001,5
Amazonas,Brasil,16719.519200000002,16
Ancash,Perú,-641.52,3
Antioquia,Colombia,43081.9732,20
Antofagasta,Chile,3611.0032,2
Anzoátegui,Venezuela,-9294.839999999998,7
Arauca,Colombia,3580.3012,1
Arequipa,Perú,-976.56,2
Arica y Parinacota,Chile,939,2
Artemisa,Cuba,8367.415200000001,7
Artibonite,Haití,-3863.0663999999992,6
Asunción,Paraguay,1428.1999999999998,1
Atacama,Chile,888.8000000000001,2
Atlántico,Colombia,13282.0496,16
Atlántida,Honduras,-30230.309200000003,26
Ayacucho,Perú,-13.160000000000096,3
Azuay,Ecuador,1508.8,1
Bahía,Brasil,-80856.4444,66
Baja California,México,45847.8396,62
Baja California Sur,México,337.2,3
Barahona,República Dominicana,5135.100000000002,5
Bío-Bío,Chile,9366.534,4
Bogotá,Colombia,51873.6976,48
Bolívar,Colombia,2468.0792,6
Boyacá,Colombia,3422.86,3
Buenos Aires,Argentina,-16660.8116,19
CABA,Argentina,-85678.85560000001,80
Cajamarca,Perú,-219.12000000000018,1
Caldas,Colombia,4045.7516,4
Callao,Perú,-361.52,2
Camagüey,Cuba,49447.6268,33
Campeche,México,3874.184,14
Canelones,Uruguay,1486.8,1
Caquetá,Colombia,2040.0267999999999,1
Carabobo,Venezuela,-20456.838799999998,9
Casanare,Colombia,18.6,1
Catamarca,Argentina,-273.5999999999999,1
Ceará,Brasil,-22869.531600000002,30
Central,Paraguay,2724.0752,5
Cesar,Colombia,1291.9464,4
Chaco,Argentina,-13054.815999999995,8
Chaguanas,Trinidad y Tobago,5089.4904,6
Chiapas,México,9089.5952,25
Chihuahua,México,62272.4784,66
Chimaltenango,Guatemala,8748.482,10
Chiriquí,Panamá,-25437.811200000004,20
Chocó,Colombia,5039.8592,2
Choluteca,Honduras,-20360.4088,17
Chubut,Argentina,-4929.500000000001,2
Chuquisaca,Bolivia,4233.2,4
Ciego de Ávila,Cuba,17996.1872,15
Cienfuegos,Cuba,15843.328,17
Coahuila,México,27103.622,55
Cochabamba,Bolivia,4012.4,2
Cojedes,Venezuela,-33.40000000000009,1
Colima,México,10131.6876,15
Colón,Panamá,-2011.720000000001,7
Córdoba,Argentina,-14714.287999999999,11
Córdoba,Colombia,0,1
Corrientes,Argentina,-4231.3112,3
Cortés,Honduras,-88301.66080000001,100
Cundinamarca,Colombia,6330.8,7
Cuscatlán,El Salvador,4115,11
Distrito Capital,Venezuela,-40434.882,20
Distrito Federal,México,200816.3188,210
Distrito Nacional,República Dominicana,-35695.96560000002,200
Duarte,República Dominicana,-7075.7732000000005,16
Durango,México,17408.1816,25
El Beni,Bolivia,1145.66,3
Entre Ríos,Argentina,-766.3760000000005,4
Escuintla,Guatemala,20681.1112,19
Espaillat,República Dominicana,-1107.7692,3
Espíritu Santo,Brasil,27422.5868,24
Francisco Morazán,Honduras,-150074.1608,160
Goiás,Brasil,18713.3316,23
Granma,Cuba,39708.1732,31
Guanajuato,México,61707.7428,73
Guantánamo,Cuba,21310.2356,25
Guatemala,Guatemala,211304.98679999998,166
Guayas,Ecuador,9035.2,9
Guerrero,México,1313.3863999999999,8
Hidalgo,México,4960.4,2
Holguín,Cuba,27978.4676,30
Huehuetenango,Guatemala,16743.9908,17
Huila,Colombia,2295.7039999999997,3
Ica,Perú,-4858.2880000000005,1
Isla de la Juventud,Cuba,7309.200000000001,8
