Id_cliente,Reciente,Frequencia,Monto,score_r,score_f,score_m,rfm,segment,Value
AÁ-10015,17,8,23748.6,5,4,3,543,Loyal Customers,Very Good
AA-10150,36,9,25232.095999999998,4,4,3,443,Need Attention,Good
AA-10165,61,5,6664.2,4,2,1,421,Potential Loyalist,Good
AA-10225,106,7,10329.4,3,3,1,331,Potential Loyalist,Average
ÁA-10360,97,9,37582.079999999994,3,4,4,344,Need Attention,Average
AA-10390,190,7,19210.2256,2,3,2,232,Hibernating,Low
AA-10555,639,4,11255.0844,1,1,1,111,Lost,Bad
AA-10615,37,8,16993.7268,4,4,2,442,Potential Loyalist,Good
AA-11005,92,5,35390.0976,3,2,4,324,Potential Loyalist,Average
AA-11470,12,9,57109.49080000001,5,4,5,545,Champions,Very Good
AA-11665,37,8,57891.799999999996,4,4,5,445,Loyal Customers,Good
AB-10045,220,3,7789.160000000001,2,1,1,211,About To Sleep,Low
AB-10135,236,3,3463.0800000000004,2,1,1,211,About To Sleep,Low
AB-10180,331,6,15413.840000000002,1,2,2,122,At Risk,Bad
AB-10645,56,9,22626.591999999997,4,4,3,443,Need Attention,Good
AB-10720,180,3,29192.745999999996,2,1,4,214,Can't Lose Them,Low
AB-10795,190,3,9282.52,2,1,1,211,About To Sleep,Low
AB-10885,54,7,45808.972799999996,4,3,5,435,Loyal Customers,Good
AB-11110,404,5,32048.120000000003,1,2,4,124,At Risk,Bad
AB-11125,34,5,20869.16,4,2,3,423,Potential Loyalist,Good
AB-11185,446,7,29180.5292,1,3,4,134,At Risk,Bad
AB-11350,1113,3,2252.2599999999998,1,1,1,111,Lost,Bad
AB-11545,41,6,11462.418800000001,4,2,1,421,Potential Loyalist,Good
AC-10105,33,10,12335.84,4,5,2,452,Potential Loyalist,Very Good
AC-10270,41,9,16213.2752,4,4,2,442,Potential Loyalist,Good
AC-10540,415,3,1571.4399999999998,1,1,1,111,Lost,Bad
AC-10780,62,6,5999.52,4,2,1,421,Potential Loyalist,Good
ÁC-10915,317,7,20702.04,1,3,3,133,At Risk,Bad
AC-10930,56,5,17116.7756,4,2,2,422,Potential Loyalist,Good
AC-11680,117,3,5433.28,2,1,1,211,About To Sleep,Low
AD-10480,237,4,47051.828799999996,2,1,5,215,Can't Lose Them,Low
AD-10735,37,7,22061.84,4,3,3,433,Need Attention,Good
AE-10945,29,6,35167.22,5,2,4,524,Champions,Very Good
AE-11200,182,10,45587.500799999994,2,5,5,255,Can't Lose Them,Average
AE-11320,6,7,16540.64,5,3,2,532,Potential Loyalist,Very Good
AE-11380,273,8,46144.578,1,4,5,145,Can't Lose Them,Bad
AF-10120,307,6,40435.2888,1,2,5,125,At Risk,Bad
AF-10195,52,6,53711.9128,4,2,5,425,Potential Loyalist,Good
AG-10450,197,3,6936.5199999999995,2,1,1,211,About To Sleep,Low
AG-10510,77,6,12106.4436,3,2,2,322,Hibernating,Average
AG-10660,3,6,21892.272800000002,5,2,3,523,Potential Loyalist,Very Good
AG-11095,330,8,25593.68,1,4,3,143,At Risk,Bad
AG-11155,43,5,36103.9496,4,2,4,424,Potential Loyalist,Good
AG-11260,108,6,18768.797599999998,3,2,2,322,Hibernating,Average
AG-11395,295,2,3367.4,1,1,1,111,Lost,Bad
AG-11575,35,6,29077.8908,4,2,4,424,Potential Loyalist,Good
AH-11305,94,8,24423.34,3,4,3,343,Need Attention,Average
AJ-10840,427,9,34827.1352,1,4,4,144,Can't Lose Them,Bad
AJ-11065,118,5,32780.718,2,2,4,224,Can't Lose Them,Low
AJ-11695,10,6,47523.8288,5,2,5,525,Champions,Very Good
AL-10240,13,8,23570.5016,5,4,3,543,Loyal Customers,Very Good
AL-10570,3,6,25790.1912,5,2,3,523,Potential Loyalist,Very Good
AL-10975,530,4,11957.52,1,1,1,111,Lost,Bad
AL-11035,136,10,29405.600000000002,2,5,4,254,Need Attention,Average
AL-11215,482,6,40628.912000000004,1,2,5,125,At Risk,Bad
AL-11635,164,5,10925.12,2,2,1,221,About To Sleep,Low
AM-10075,231,6,30445.479199999998,2,2,4,224,Can't Lose Them,Low
AM-10315,694,2,6328.200000000001,1,1,1,111,Lost,Bad
AM-10630,628,1,796.1999999999999,1,1,1,111,Lost,Bad
ÁM-10765,29,13,59102.42,5,5,5,555,Champions,Very Good
AM-11245,125,3,24648.120000000003,2,1,3,213,About To Sleep,Low
AM-11365,26,12,65417.179599999996,5,5,5,555,Champions,Very Good
AN-10435,17,8,33623.52,5,4,4,544,Champions,Very Good
AN-10870,426,9,58322.880000000005,1,4,5,145,Can't Lose Them,Bad
AO-10255,6,9,46439.56,5,4,5,545,Champions,Very Good
AO-10405,145,4,11819.508800000001,2,1,1,211,About To Sleep,Low
AO-10810,122,4,16369.800000000001,2,1,2,212,About To Sleep,Low
ÁO-11050,42,6,21693.1976,4,2,3,423,Potential Loyalist,Good
AP-10060,43,10,52101.68,4,5,5,455,Champions,Very Good
AP-10675,400,4,36061.964,1,1,4,114,At Risk,Bad
AP-10705,139,5,7420.679999999999,2,2,1,221,About To Sleep,Low
ÁP-10900,58,3,55180.8976,4,1,5,415,Promising,Good
ÁP-11080,159,5,15826.680000000002,2,2,2,222,Hibernating,Low
AP-11230,114,6,16111.36,3,2,2,322,Hibernating,Average
AP-11485,31,9,12448.5384,5,4,2,542,Loyal Customers,Very Good
AP-11515,432,9,50160.479199999994,1,4,5,145,Can't Lose Them,Bad
AP-11620,50,3,3062.4752000000003,4,1,1,411,Promising,Good
AP-11650,199,3,34969.6908,2,1,4,214,Can't Lose Them,Low
AQ-11020,189,5,16694.059999999998,2,2,2,222,Hibernating,Low
AR-10345,315,4,16081.519999999999,1,1,2,112,Lost,Bad
AR-10420,7,9,45624.88,5,4,5,545,Champions,Very Good
AR-10525,13,5,26194.559999999998,5,2,3,523,Potential Loyalist,Very Good
AR-10690,379,4,7100.0912,1,1,1,111,Lost,Bad
AR-10750,227,4,59888.07999999999,2,1,5,215,Can't Lose Them,Low
AR-10990,52,9,17908.16,4,4,2,442,Potential Loyalist,Good
AR-11140,9,12,52467.394,5,5,5,555,Champions,Very Good
AR-11170,20,8,31782.8324,5,4,4,544,Champions,Very Good
AR-11335,80,11,63416.464,3,5,5,355,Promising,Good
AR-11410,191,8,11297.8676,2,4,1,241,At Risk,Low
AR-11590,427,4,20786.4752,1,1,3,113,Lost,Bad
AR-11605,991,3,9272.818399999998,1,1,1,111,Lost,Bad
AS-10330,183,10,60758.8048,2,5,5,255,Can't Lose Them,Average
AS-10375,35,7,18604.780000000002,4,3,2,432,Potential Loyalist,Good
AS-10495,201,4,21114.0956,2,1,3,213,About To Sleep,Low
AS-10855,209,1,201.4,2,1,1,211,About To Sleep,Low
AS-10960,52,4,17935.858799999998,4,1,2,412,Promising,Good
AS-11455,185,5,14645.52,2,2,2,222,Hibernating,Low
AT-10090,192,10,61124.22720000001,2,5,5,255,Can't Lose Them,Average
AT-10600,85,3,3770.2,3,1,1,311,About To Sleep,Average
AT-11425,98,4,39740.2752,3,1,4,314,Need Attention,Average
AT-11500,126,6,23787.88,2,2,3,223,Hibernating,Low
AT-11560,8,6,27570.576399999998,5,2,3,523,Potential Loyalist,Very Good
ÁU-10285,19,8,15837.8696,5,4,2,542,Loyal Customers,Very Good
AU-11290,258,9,29074.9628,1,4,4,144,Can't Lose Them,Bad
AV-10030,159,6,45681.0384,2,2,5,225,Can't Lose Them,Low
AV-10210,8,12,70317.27679999999,5,5,5,555,Champions,Very Good
AV-10465,71,7,36198.902799999996,3,3,4,334,Need Attention,Average
AV-10585,398,4,5677.2,1,1,1,111,Lost,Bad
AV-10825,23,11,24359.24,5,5,3,553,Loyal Customers,Very Good
AV-11275,7,9,40215.4664,5,4,4,544,Champions,Very Good
AV-11530,34,7,17113.079999999998,4,3,2,432,Potential Loyalist,Good
AY-11440,366,6,24760.199999999997,1,2,3,123,At Risk,Bad
AZ-10300,3,8,33643.00000000001,5,4,4,544,Champions,Very Good
BA-11965,19,4,15911.200000000004,5,1,2,512,Potential Loyalist,Very Good
BA-12070,90,4,8317.6576,3,1,1,311,About To Sleep,Average
BA-12100,52,9,39951.5224,4,4,4,444,Need Attention,Good
BA-12175,119,3,6008.12,2,1,1,211,About To Sleep,Low
BC-11740,119,5,55137.72,2,2,5,225,Can't Lose Them,Low
BC-11830,72,6,14462.44,3,2,2,322,Hibernating,Average
BC-11905,359,5,17201.826,1,2,2,122,At Risk,Bad
BC-12115,62,5,14678.723999999998,4,2,2,422,Potential Loyalist,Good
BC-12190,1,8,18651.2552,5,4,2,542,Loyal Customers,Very Good
BE-11800,10,8,22229.68,5,4,3,543,Loyal Customers,Very Good
BF-12040,392,4,3926.6,1,1,1,111,Lost,Bad
BH-11875,14,5,24940.6956,5,2,3,523,Potential Loyalist,Very Good
BH-11935,37,4,33127.56,4,1,4,414,Promising,Good
